Comment,Designator,Footprint,LCSC
18K7,"R26,R27",R_0402_1005Metric,C102855
W25Q16JVSNIQ (Program Flash),"U4,U5",SOIC-8_3.9x4.9mm_P1.27mm,C115407
BM04B-SRSS-TB(LF)(SN),"J4,J5,J8",JST_BM04B-SRSS-TB(LF)(SN),C160390
220R,R4,R_0402_1005Metric,C160487
12 pF,"C2,C7",C_0402_1005Metric,C161527
910K,R1,R_0402_1005Metric,C170371
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
74LVC1G125,U7,SOT-23-5,C23654
10K,"R19,R21,R22,R9",R_0402_1005Metric,C25744
"1 uF, 16V","C11,C12,C23,C4,C8",C_0402_1005Metric,C268023
"10 μF, 25 V, X7R",C33,C_1206_3216Metric,C2803388
TPZ3V6C-1006,D3,D_SOD-882_DFN1006-2,C2923392
100R,"R12,R2,R23,R3",R_0402_1005Metric,C2935235
"5.6 nF, 50V, C0G",C26,C_0402_1005Metric,C2976066
"22 uF, 10V, X5R",C28,C_0603_1608Metric,C2980159
31K6,R20,R_0402_1005Metric,C2986236
ESP32-S3-WROOM-1,U3,ESP32-S3-WROOM-1U,C3013946
4K7,"R10,R11,R13,R15,R16,R17,R24,R25,R8",R_0402_1005Metric,C3015810
27R,"R5,R6",R_0402_1005Metric,C321419
Conn_01x24,J3,FH34SRJ24S05SH50,C324726
0R,"R14,R7",R_0402_1005Metric,C4288031
LM5050-1,"U1,U8",TSOT-23-6,C473393
TPS82130,U6,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,C473914
F0503-ZV-24-20T-R,J2,Flexible24Pin,C481246
XYDBPCNANF-12MHZ,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C521567
2.2 µF / 25V,"C1,C3",C_0603_1608Metric,C668356
Micro_SD_Card_Det2,J6,microSD_HC_Hirose_DM3D-SF,C719027
19-217/BHC-ZL1M2RY/3T,"D1,D2,D4,D5",LED_0603_1608Metric,C72041
NTGD3148NT1G,Q6,TSOP-6_1.65x3.05mm_P0.95mm,C77713
"22 uF, 10V, X7T","C25,C27",C_0805_2012Metric,C782176
10R,R18,R_0402_1005Metric,C851817
2N7002,"Q1,Q2,Q4",SOT-23,C8545
"100 nF, 50V, X7R","C10,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C24,C9",C_0402_1005Metric,C960916
