Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2 µF / 25V,C_0603_1608Metric,59.23,-49.64,0.0,top
C2,12 pF,C_0402_1005Metric,56.7,-38.75,0.0,top
C3,2.2 µF / 25V,C_0603_1608Metric,58.45,-52.095,90.0,top
C4,"1 uF, 16V",C_0402_1005Metric,60.09,-52.11,90.0,top
C7,12 pF,C_0402_1005Metric,56.8,-43.45,180.0,top
C8,"1 uF, 16V",C_0402_1005Metric,40.7,-68.55,-90.0,top
C9,"100 nF, 50V, X7R",C_0402_1005Metric,42.6,-30.95,-90.0,top
C10,"100 nF, 50V, X7R",C_0402_1005Metric,43.45,-39.58,-90.0,top
C11,"1 uF, 16V",C_0402_1005Metric,51.96,-28.33,90.0,top
C12,"1 uF, 16V",C_0402_1005Metric,39.79,-73.59,0.0,top
C13,"100 nF, 50V, X7R",C_0402_1005Metric,48.95,-28.34,90.0,top
C14,"100 nF, 50V, X7R",C_0402_1005Metric,51.2,-39.42,-90.0,top
C15,"100 nF, 50V, X7R",C_0402_1005Metric,49.95,-28.34,-90.0,top
C16,"100 nF, 50V, X7R",C_0402_1005Metric,49.8,-39.42,90.0,top
C17,"100 nF, 50V, X7R",C_0402_1005Metric,45.0,-31.6,0.0,top
C18,"100 nF, 50V, X7R",C_0402_1005Metric,45.0,-35.2,0.0,top
C19,"100 nF, 50V, X7R",C_0402_1005Metric,55.36,-31.6,180.0,top
C20,"100 nF, 50V, X7R",C_0402_1005Metric,55.35,-35.2,180.0,top
C21,"100 nF, 50V, X7R",C_0402_1005Metric,50.95,-28.34,90.0,top
C22,"100 nF, 50V, X7R",C_0402_1005Metric,53.96,-28.33,90.0,top
C23,"1 uF, 16V",C_0402_1005Metric,52.96,-28.33,90.0,top
C24,"100 nF, 50V, X7R",C_0402_1005Metric,39.8,-74.75,0.0,top
C25,"22 uF, 10V, X7T",C_0805_2012Metric,63.3,-54.45,-90.0,top
C26,"5.6 nF, 50V, C0G",C_0402_1005Metric,68.57,-51.85,90.0,top
C27,"22 uF, 10V, X7T",C_0805_2012Metric,63.32,-50.25,90.0,top
C28,"22 uF, 10V, X5R",C_0603_1608Metric,36.8,-73.5,0.0,top
C33,"10 μF, 25 V, X7R",C_1206_3216Metric,66.75,-48.15,0.0,top
D1,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,66.95,-31.84,90.0,top
D2,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,66.95,-35.63,90.0,top
D3,TPZ3V6C-1006,D_SOD-882_DFN1006-2,60.84,-36.14,0.0,top
D4,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,69.25,-65.5,180.0,top
D5,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,57.5,-27.8,0.0,top
J2,F0503-ZV-24-20T-R,Flexible24Pin,28.194,-42.672,-90.0,top
J3,Conn_01x24,FH34SRJ24S05SH50,49.4,-51.4,0.0,top
J4,BM04B-SRSS-TB(LF)(SN),JST_BM04B-SRSS-TB(LF)(SN),34.4055,-39.2,-90.0,top
J5,BM04B-SRSS-TB(LF)(SN),JST_BM04B-SRSS-TB(LF)(SN),34.3805,-47.9,-90.0,top
J6,Micro_SD_Card_Det2,microSD_HC_Hirose_DM3D-SF,33.95,-59.22,-90.0,top
J8,BM04B-SRSS-TB(LF)(SN),JST_BM04B-SRSS-TB(LF)(SN),36.1,-68.1,0.0,top
Q1,2N7002,SOT-23,63.96,-31.84,180.0,top
Q2,2N7002,SOT-23,63.96,-35.65,180.0,top
Q4,2N7002,SOT-23,45.9,-46.2,180.0,top
Q6,NTGD3148NT1G,TSOP-6_1.65x3.05mm_P0.95mm,64.6,-43.8,270.0,top
R1,910K,R_0402_1005Metric,58.66,-54.44,180.0,top
R2,100R,R_0402_1005Metric,68.532,-31.84,-90.0,top
R3,100R,R_0402_1005Metric,68.532,-35.65,-90.0,top
R4,220R,R_0402_1005Metric,60.87,-34.69,0.0,top
R5,27R,R_0402_1005Metric,32.200624,-31.209376,45.0,top
R6,27R,R_0402_1005Metric,33.15,-32.17,45.0,top
R7,0R,R_0402_1005Metric,65.05,-69.4,-90.0,top
R8,4K7,R_0402_1005Metric,36.703,-51.562,0.0,top
R9,10K,R_0402_1005Metric,39.78,-72.46,0.0,top
R10,4K7,R_0402_1005Metric,45.75,-28.95,180.0,top
R11,4K7,R_0402_1005Metric,52.38,-39.43,-90.0,top
R12,100R,R_0402_1005Metric,64.9,-64.9,0.0,top
R13,4K7,R_0402_1005Metric,36.7,-47.2,180.0,top
R14,0R,R_0402_1005Metric,63.9,-69.4,-90.0,top
R15,4K7,R_0402_1005Metric,36.7,-46.1,180.0,top
R16,4K7,R_0402_1005Metric,31.8,-43.5,0.0,top
R17,4K7,R_0402_1005Metric,34.61,-43.5,180.0,top
R18,10R,R_0402_1005Metric,43.1,-47.0,90.0,top
R19,10K,R_0402_1005Metric,67.35,-53.5,180.0,top
R20,31K6,R_0402_1005Metric,65.4,-53.5,0.0,top
R21,10K,R_0402_1005Metric,62.7,-28.6,90.0,top
R22,10K,R_0402_1005Metric,70.45,-34.5,-90.0,top
R23,100R,R_0402_1005Metric,56.3,-29.2,0.0,top
R24,4K7,R_0402_1005Metric,40.7,-70.5,90.0,top
R25,4K7,R_0402_1005Metric,37.35,-74.8,0.0,top
R26,18K7,R_0402_1005Metric,69.0,-37.25,0.0,top
R27,18K7,R_0402_1005Metric,60.75,-43.75,-90.0,top
U1,LM5050-1,TSOT-23-6,67.3,-39.9,0.0,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,50.2,-34.2,0.0,top
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,51.44,-65.4,90.0,top
U4,W25Q16JVSNIQ (Program Flash),SOIC-8_3.9x4.9mm_P1.27mm,39.0,-32.4,180.0,top
U5,W25Q16JVSNIQ (Opt. Settings flash),SOIC-8_3.9x4.9mm_P1.27mm,39.005,-40.925,180.0,top
U6,TPS82130,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,66.17,-51.2,-90.0,top
U7,74LVC1G125,SOT-23-5,59.63,-31.04,0.0,top
U8,LM5050-1,TSOT-23-6,61.9125,-39.9,0.0,top
Y1,XYDBPCNANF-12MHZ,Crystal_SMD_2520-4Pin_2.5x2.0mm,56.75,-41.125,90.0,top
